GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7730962840019 1560712414           (N)SOPA INST CALABAZA 12X4X14.5                                        MONTE CUDINE                                                  7730177004275     12 N     20150520T1102  A      
7730962840019 1560724014           SOPA INST. CALABAZA 24 X 14.5G                                         MONTE CUDINE                                                  7730177004411     24 N     20150520T1102  A      
7730962840019 1570312415           SOPA INST. S/SAL DE ESPARRAGOS 12X4X15 G                               MONTE CUDINE                                                  7730177003810     12 N     20150520T1102  A      
7730962840019 1570612417           SOPA INST. S/SAL DE VEGETALES 12X4X17 G                                MONTE CUDINE                                                  7730177003827     12 N     20150520T1102  A      
7730962840019 1580104010           CALDO DE VERDURA 40 X 9 G                                              MONTE CUDINE                                                  7730177002844     40 N     20150520T1102  A      
7730962840019 1580304010           CALDO DE GALLINA 40 X 9 G                                              MONTE CUDINE                                                  7730177002851     40 N     20150520T1102  A      
7730962840019 1580504010           CALDO DE CARNE 40 X 9 G                                                MONTE CUDINE                                                  7730177002868     40 N     20150520T1102  A      
7730962840019 1581101000           CALDO DE VERDURAS LA ROSA 1 KG                                         LA ROSA                                                       7730177003230      1 N     20150520T1102  A      
7730962840019 1581121010           CALDO DE VERDURA 12 X 10 X 9 G                                         MONTE CUDINE                                                  7730177002813     12 N     20150520T1102  A      
7730962840019 1581301000           CALDO DE GALLINA LA ROSA 1 KG                                          LA ROSA                                                       7730177003247      1 N     20150520T1102  A      
7730962840019 1581501000           CALDO DE CARNE LA ROSA 1 KG                                            LA ROSA                                                       7730177003254      1 N     20150520T1102  A      
7730962840019 1583121010           CALDO DE GALLINA 12 X 10 X 9 G                                         MONTE CUDINE                                                  7730177002820     12 N     20150520T1102  A      
7730962840019 1585121010           CALDO DE CARNE 12 X 10 X 9 G                                           MONTE CUDINE                                                  7730177002837     12 N     20150520T1102  A      
7730962840019 1589110410           CALDO DE VERDURA 10 X 4 X 9 G                                          MONTE CUDINE                                                  7730177002783     10 N     20150520T1102  A      
7730962840019 1589124410           CALDO DE VERDURA 24 X 4 X 9 G                                          MONTE CUDINE                                                  7730177002783     24 N     20150520T1102  A      
7730962840019 1589310410           CALDO DE GALLINA 10 X 4 X 9 G                                          MONTE CUDINE                                                  7730177002790     10 N     20150520T1102  A      
7730962840019 1589324410           CALDO DE GALLINA 24 X 4 X 9 G                                          MONTE CUDINE                                                  7730177002790     24 N     20150520T1102  A      
7730962840019 1589510410           CALDO DE CARNE 10 X 4 X 9 G                                            MONTE CUDINE                                                  7730177002806     10 N     20150520T1102  A      
7730962840019 1589524410           CALDO DE CARNE 24 X 4 X 9 G                                            MONTE CUDINE                                                  7730177002806     24 N     20150520T1102  A      
7730962840019 1590112411           (N) SOPA INST.LIGHT ARVEJAS 12X4X11.5G                                 MONTE CUDINE                                                  7730177002592     12 N     20150520T1102  A      
7730962840019 1590312410           SOPA INST. LIGHT DE  ESPARRAGOS 12X4X10 G                              MONTE CUDINE                                                  7730177002752     12 N     20150520T1102  A      
7730962840019 1590324009           (N) SOPA INST. LIGHT ESPARRAGOS 24X9.5G                                MONTE CUDINE                                                  7730177004206     12 N     20150520T1102  A      
7730962840019 1590412409           (N)SOPA INST.LGH CHOCLO 12X4X9,5G                                      MONTE CUDINE                                                  7730177004091     12 N     20150520T1102  A      
7730962840019 1590424009           (N)SOPA INST LIGHT CHOCLO 24X9,5 G                                     MONTE CUDINE                                                  7730177004107     24 N     20150520T1102  A      
7730962840019 1590612412           SOPA INST. LIGHT DE VEGETALES 12X4X12 G                                MONTE CUDINE                                                  7730177002585     12 N     20150520T1102  A      
7730962840019 1590624012           SOPA INST. LIGHT VEGETALES 24 X 12 G                                   MONTE CUDINE                                                  7730177003391     24 N     20150520T1102  A      
7730962840019 1590712409           (N) SOPA INST. LIGHT CALABAZA 12X4X10G                                 MONTE CUDINE                                                  7730177004060     12 N     20150520T1102  A      
7730962840019 1590712410           SOPA INST. LIGHT DE CALABAZA 12X4X10.5 G                               MONTE CUDINE                                                  7730177003407     12 N     20150520T1102  A      
7730962840019 1590724010           SOPA INST. CALABAZA LIGHT 24 X 10G                                     MONTE CUDINE                                                  7730177004404     24 N     20150520T1102  A      
